Date,ADS.DE,AIR.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DHL.DE,DTE.DE,DTG.DE,ENR.DE,EOAN.DE,FME.DE,FRE.DE,HEN3.DE,HNR1.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,P911.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,SHL.DE,SIE.DE,SRT3.DE,SY1.DE,VNA.DE,VOW3.DE,WCH.DE,ZAL.DE
2017-04-11,475036,113199,1605446,2450404,1969718,297185,1506405,196659,10894655,395075,487900,14240750,2498239.0,7423466,,,8169606,461989,980170,488523,96365,5019209,3821721,337373,139463,592546,,366709,219646,319741,2751083,1641591,,2136906,71423,350124,1683541,919518,111549,298051
2017-04-12,501507,125418,1209708,1712789,1496077,276516,1829069,228316,10285511,402170,472173,14880424,2127976.0,7312474,,,7721497,612951,639709,388062,80741,4051842,5849430,275515,143747,408127,,373425,270587,300677,2484283,1818735,,1655470,71266,299765,1789220,882136,164789,608442
2017-04-13,518083,152157,1062212,1902921,1833357,289895,1383419,149861,11292705,373922,394982,14396891,2106600.0,7399781,,,6917993,625557,771335,289844,105366,3098012,3664413,286436,92063,525773,,301356,190896,180591,2140881,2229929,,1591856,70742,215930,1426221,859216,127421,502915
2017-04-18,502509,191809,1391254,2040608,2121803,345720,1617270,206182,12194065,367243,494167,17591014,2180769.0,7307626,,,11449732,569988,857115,322604,104260,3474704,6017185,351194,118454,511510,,801743,338064,253807,3046176,1787616,,1563807,91177,283281,1837329,2601641,125157,490670
2017-04-19,391724,76096,1115268,1933494,1737534,428726,2118830,188971,13497325,351507,345595,12391238,2065948.0,7065685,,,13022034,386009,750418,384932,127881,3740188,3430421,262083,114723,521543,,840738,308633,176461,3736260,1416947,,1525338,77694,245514,1889281,1728231,122030,1349290
2017-04-20,615875,143730,1220130,2330043,1522363,407966,2432624,238388,10349880,349065,355708,14412043,2795255.0,8376146,,,13038922,663134,844654,478154,99237,3752882,3962765,230467,94696,573957,,486015,175670,152041,2788083,1566696,,1892861,68364,206879,1846889,930717,157559,777105
2017-04-21,926045,155547,2105095,3303999,2830993,464020,2363017,165392,12190230,428294,472760,17842867,4316777.0,11309211,,,15464254,629919,1540139,535445,100594,4483412,4856674,417507,131254,856706,,358409,367927,153645,4390363,3389188,,2961532,57643,258188,2308106,1378675,109698,508779
2017-04-24,907294,309748,2726024,3769964,3312502,318995,3070174,472680,45953920,616144,543460,44328930,6125196.0,15136355,,,18894764,839597,1608978,508568,339617,5051192,6572865,505008,165654,1130666,,770543,421650,231662,5379402,3468037,,4717096,122897,399618,3160320,1740349,150937,643095
2017-04-25,531546,120083,1399313,2079206,1906682,305110,1681180,192520,14582733,1091551,489865,16819072,3045631.0,8590607,,,9686762,593222,1513113,406987,134040,3647103,5754704,564134,89940,787725,,747227,260792,199940,3649388,2361529,,2280325,82693,278287,2104867,1429284,77558,551755
2017-04-26,468211,218344,1077907,2289769,2023110,350147,2013349,231898,12911510,540929,331002,17464281,3228355.0,7248069,,,10439934,584700,1078396,413928,128817,4197271,5469533,387773,128132,1158902,,512797,377647,176208,2846805,2315978,,1996086,67649,249568,1479479,1061048,286902,458292
